county,month,wind_speed
Marshall,8,6.1
Marshall,9,5.6
Marshall,10,7.3
Marshall,11,10.8
Marshall,12,9.3
Martin,1,12.9
Martin,2,9.5
Martin,3,10.1
Martin,4,11.4
Martin,5,6.9
Martin,6,7.6
Martin,7,5.7
Martin,8,7.7
Martin,9,7.2
Martin,10,11.5
Martin,11,9.3
Martin,12,6.6
Miami,1,9.4
Miami,2,12.2
Miami,3,10.1
Miami,4,7.9
Miami,5,9.3
Miami,6,8.2
Miami,7,5.8
Miami,8,6.7
Miami,9,8.6
Miami,10,7.8
Miami,11,9.2
Miami,12,8.7
Monroe,1,10.7
Monroe,2,8.7
Monroe,3,9.8
Monroe,4,6
Monroe,5,7.8
Monroe,6,7.3
Monroe,7,6.8
Monroe,8,5
Monroe,9,6.3
Monroe,10,6.1
Monroe,11,8.9
Monroe,12,11.5
Montgomery,1,11.6
Montgomery,2,10.5
Montgomery,3,12
Montgomery,4,7.8
Montgomery,5,8.5
Montgomery,6,8.2
Montgomery,7,9.1
Montgomery,8,5.7
Montgomery,9,9.7
Montgomery,10,8.3
Montgomery,11,6.4
Montgomery,12,10.6
Morgan,1,10.3
Morgan,2,11.8
Morgan,3,12.4
Morgan,4,10.9
Morgan,5,9.8
Morgan,6,9.6
Morgan,7,8.9
Morgan,8,5.4
Morgan,9,9.5
Morgan,10,7
Morgan,11,7.9
Morgan,12,9.1
Newton,1,10.4
Newton,2,8.1
Newton,3,11.9
Newton,4,9.6
Newton,5,6.4
Newton,6,8.6
Newton,7,6.8
Newton,8,5.7
Newton,9,7.3
Newton,10,7.5
Newton,11,8.2
Newton,12,13.5
Noble,1,10
Noble,2,11.6
Noble,3,10
Noble,4,10.5
Noble,5,5.9
Noble,6,10.5
Noble,7,6.1
Noble,8,5.1
Noble,9,8.5
Noble,10,9
Noble,11,8.4
Noble,12,8.8
Ohio,1,11.8
Ohio,2,8.6
Ohio,3,13.2
Ohio,4,9.4
Ohio,5,9.4
Ohio,6,8.7
Ohio,7,6.7
Ohio,8,7.7
Ohio,9,5.2
Ohio,10,7.2
Ohio,11,9.1
Ohio,12,10.6
Orange,1,11.8
Orange,2,8.8
Orange,3,9.9
Orange,4,9.1
Orange,5,7.2
Orange,6,8.3
Orange,7,7.8
Orange,8,7
Orange,9,4.9
Orange,10,7.8
Orange,11,7.3
Orange,12,9.3
Owen,1,11.4
Owen,2,12.9
Owen,3,8.7
Owen,4,5.8
Owen,5,10.8
Owen,6,9.2
Owen,7,4.9
Owen,8,3
Owen,9,6.9
Owen,10,8
Owen,11,10.3
Owen,12,8.9
Parke,1,9.9
Parke,2,11.5
Parke,3,10.9
Parke,4,6.5
Parke,5,8.5
Parke,6,8.4
Parke,7,6.6
Parke,8,4.1
Parke,9,2.7
Parke,10,9.5
Parke,11,10.4
Parke,12,9.3
Perry,1,10.7
Perry,2,13.5
Perry,3,7.8
Perry,4,9.5
Perry,5,11
Perry,6,6.7
Perry,7,7.9
Perry,8,3.2
Perry,9,7.9
Perry,10,9.9
Perry,11,7.9
Perry,12,10.2
Pike,1,10.2
Pike,2,10.3
Pike,3,10.7
Pike,4,10
Pike,5,10
Pike,6,7.2
Pike,7,8
Pike,8,3.8
Pike,9,10.2
Pike,10,7.5
Pike,11,8.6
Pike,12,10.4
Porter,1,10.1
Porter,2,9.8
Porter,3,12.5
Porter,4,10.6
Porter,5,11.2
Porter,6,6.2
Porter,7,6.1
Porter,8,6.4
Porter,9,7.3
Porter,10,11
Porter,11,8.9
Porter,12,8.7
Posey,1,9.6
Posey,2,11.9
Posey,3,9.6
Posey,4,8.4
Posey,5,9.6
Posey,6,10
Posey,7,6.3
Posey,8,5.3
Posey,9,7.2
Posey,10,6.2
Posey,11,8.2
Posey,12,7.5
Pulaski,1,11.9
Pulaski,2,8.3
Pulaski,3,9.6
Pulaski,4,9.4
Pulaski,5,8.8
Pulaski,6,9.8
Pulaski,7,8.5
Pulaski,8,6.8
Pulaski,9,7.6
Pulaski,10,8.3
Pulaski,11,9.6
Pulaski,12,8.6
Putnam,1,12.6
Putnam,2,8.5
Putnam,3,10.8
Putnam,4,8
Putnam,5,10.9
Putnam,6,7.9
Putnam,7,5.3
Putnam,8,4.7
Putnam,9,8.1
Putnam,10,5.7
Putnam,11,10.4
Putnam,12,7.6
Randolph,1,11.3
Randolph,2,9.4
Randolph,3,11.6
Randolph,4,9.4
Randolph,5,5.8
Randolph,6,8.5
Randolph,7,8
Randolph,8,4.6
Randolph,9,6.7
Randolph,10,10.2
Randolph,11,9.2
Randolph,12,10.2
Ripley,1,12.4
Ripley,2,9.1
Ripley,3,13.2
Ripley,4,12.2
Ripley,5,9.9
Ripley,6,7.3
Ripley,7,6.4
Ripley,8,5.5
Ripley,9,5.7
Ripley,10,12.2
Ripley,11,10.3
Ripley,12,11.3
Rush,1,11.9
Rush,2,10.4
Rush,3,11.6
Rush,4,10.5
Rush,5,8.9
Rush,6,6.4
Rush,7,5.4
Rush,8,3.9
Rush,9,7.2
Rush,10,10.5
Rush,11,10.1
Rush,12,11.2
Scott,1,11.5
Scott,2,12.2
Scott,3,11.1
Scott,4,9.4
Scott,5,8.9
Scott,6,6.1
Scott,7,6.9
Scott,8,3.1
Scott,9,5.1
Scott,10,11.7
Scott,11,8.3
Scott,12,6.2
Shelby,1,12.9
Shelby,2,9.9
Shelby,3,11.1
Shelby,4,11.9
Shelby,5,8.2
Shelby,6,7.3
Shelby,7,5.8
Shelby,8,8
Shelby,9,7.4
Shelby,10,4.9
Shelby,11,9.1
Shelby,12,10.9
Spencer,1,13.7
Spencer,2,11.3
Spencer,3,10
Spencer,4,9.5
Spencer,5,9.5
Spencer,6,7.5
Spencer,7,11
Spencer,8,3
Spencer,9,8.8
Spencer,10,6.7
Spencer,11,10.8
Spencer,12,11.9
St. Joseph,1,15.3
St. Joseph,2,11.3
St. Joseph,3,8.6
St. Joseph,4,9.8
St. Joseph,5,9.1
St. Joseph,6,11.1
St. Joseph,7,5.3
St. Joseph,8,6.1
St. Joseph,9,9.4
St. Joseph,10,7.4
St. Joseph,11,9.8
St. Joseph,12,9.8
Starke,1,10.3
Starke,2,13.4
Starke,3,12.2
Starke,4,11.2
Starke,5,9
Starke,6,10
Starke,7,7.3
Starke,8,10
Starke,9,8.7
Starke,10,7.4
Starke,11,9.5
Starke,12,10.5
Steuben,1,8.2
Steuben,2,9.5
Steuben,3,13
Steuben,4,10
Steuben,5,7.2
Steuben,6,6.5
Steuben,7,7.6
Steuben,8,7.1
Steuben,9,8.1
Steuben,10,8.1
Steuben,11,9.2
Steuben,12,11.1
Sullivan,1,10.1
Sullivan,2,13.1
Sullivan,3,11.1
Sullivan,4,9.8
Sullivan,5,10
Sullivan,6,6
Sullivan,7,8.4
Sullivan,8,5
Sullivan,9,7.7
Sullivan,10,7
Sullivan,11,10.9
Sullivan,12,10.3
Switzerland,1,10.8
Switzerland,2,13.5
Switzerland,3,11.9
Switzerland,4,9.8
Switzerland,5,7.7
Switzerland,6,7.2
Switzerland,7,7.6
Switzerland,8,8.8
Switzerland,9,7.1
