county,month,wind_speed,,,,,
Johnson,2018-07,7.8,,,,,
Johnson,2018-08,5.3,,,,,
Johnson,2018-09,6.1,,,,,
Johnson,2018-10,6.6,,,,,
Johnson,2018-11,8.7,,,,,
Johnson,2018-12,9.4,,,,,
Knox,2018-01,11.4,,,,,
Knox,2018-02,13.7,,,,,
Knox,2018-03,10.5,,,,,
Knox,2018-04,11.4,,,,,
Knox,2018-05,9.9,,,,,
Knox,2018-06,6.1,,,,,
Knox,2018-07,5.3,,,,,
Knox,2018-08,4.5,,,,,
Knox,2018-09,6.9,,,,,
Knox,2018-10,8.8,,,,,
Knox,2018-11,6.3,,,,,
Knox,2018-12,9.7,,,,,
Kosciusko,2018-01,10.4,,,,,
Kosciusko,2018-02,10.5,,,,,
Kosciusko,2018-03,10.5,,,,,
Kosciusko,2018-04,8.5,,,,,
Kosciusko,2018-05,8.1,,,,,
Kosciusko,2018-06,8.1,,,,,
Kosciusko,2018-07,9.9,,,,,
Kosciusko,2018-08,8.7,,,,,
Kosciusko,2018-09,9.4,,,,,
Kosciusko,2018-10,8.2,,,,,
Kosciusko,2018-11,9.6,,,,,
Kosciusko,2018-12,11.9,,,,,
La Porte,2018-01,10.9,,,,,
La Porte,2018-02,11.1,,,,,
La Porte,2018-03,11.4,,,,,
La Porte,2018-04,10.5,,,,,
La Porte,2018-05,9.0,,,,,
La Porte,2018-06,9.7,,,,,
La Porte,2018-07,7.2,,,,,
La Porte,2018-08,6.0,,,,,
La Porte,2018-09,7.2,,,,,
La Porte,2018-10,8.5,,,,,
La Porte,2018-11,10.9,,,,,
La Porte,2018-12,9.2,,,,,
LaGrange,2018-01,10.1,,,,,
LaGrange,2018-02,10.5,,,,,
LaGrange,2018-03,10.5,,,,,
LaGrange,2018-04,11.5,,,,,
LaGrange,2018-05,9.7,,,,,
LaGrange,2018-06,8.1,,,,,
LaGrange,2018-07,4.3,,,,,
LaGrange,2018-08,6.2,,,,,
LaGrange,2018-09,7.3,,,,,
LaGrange,2018-10,8.0,,,,,
LaGrange,2018-11,8.9,,,,,
LaGrange,2018-12,10.5,,,,,
Lake,2018-01,9.2,,,,,
Lake,2018-02,11.8,,,,,
Lake,2018-03,9.9,,,,,
Lake,2018-04,11.2,,,,,
Lake,2018-05,6.9,,,,,
Lake,2018-06,8.6,,,,,
Lake,2018-07,6.2,,,,,
Lake,2018-08,8.0,,,,,
Lake,2018-09,5.5,,,,,
Lake,2018-10,7.0,,,,,
Lake,2018-11,9.9,,,,,
Lake,2018-12,10.4,,,,,
Lawrence,2018-01,12.5,,,,,
Lawrence,2018-02,9.9,,,,,
Lawrence,2018-03,12.5,,,,,
Lawrence,2018-04,7.9,,,,,
Lawrence,2018-05,8.3,,,,,
Lawrence,2018-06,12.4,,,,,
Lawrence,2018-07,9.0,,,,,
Lawrence,2018-08,5.4,,,,,
Lawrence,2018-09,5.8,,,,,
Lawrence,2018-10,6.1,,,,,
Lawrence,2018-11,11.8,,,,,
Lawrence,2018-12,7.3,,,,,
Madison,2018-01,11.3,,,,,
Madison,2018-02,10.5,,,,,
Madison,2018-03,9.1,,,,,
